# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  0.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  1.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  1.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  2.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  2.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  3.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  3.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  4.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  4.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  5.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  5.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  6.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  6.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  7.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  7.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  8.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  8.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  9.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  9.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 10.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 10.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 11.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 11.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 12.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 12.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 13.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 13.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 14.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 14.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 15.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 15.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 16.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 16.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 17.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 17.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 18.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 18.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 19.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 19.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 20.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 20.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 21.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 21.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 22.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 22.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 23.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 23.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
