# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      5.159     -0.040     -0.358     -0.008      0.007     -1.281     -1.695
  0.500      5.638     -0.004     -0.260     -0.010     -0.007     -0.650      0.099
  1.000      5.200     -0.062     -0.142     -0.014     -0.014      1.483      0.301
  1.500      5.699     -0.003     -0.188     -0.011     -0.012     -0.156     -0.276
  2.000      5.151      0.006     -0.212     -0.012     -0.008      0.196     -0.343
  2.500      4.965     -0.055     -0.157     -0.007     -0.008      0.969      0.573
  3.000      4.196     -0.062     -0.175     -0.006     -0.007      0.103      0.391
  3.500      5.564      0.030     -0.228     -0.007     -0.011     -1.496      0.901
  4.000      5.502      0.090     -0.261     -0.007     -0.010     -2.206      1.548
  4.500      7.738      0.231     -0.276     -0.004     -0.021     -4.498      3.078
  5.000     11.104      0.325     -0.333     -0.015     -0.031     -5.618      1.075
  5.500     16.197      0.370     -0.321     -0.027     -0.046     -5.844     -0.002
  6.000     17.241      0.392     -0.323     -0.029     -0.047     -5.940     -0.049
  6.500     22.765      0.447     -0.309     -0.047     -0.065     -5.791     -0.614
  7.000     23.843      0.377     -0.228     -0.047     -0.070     -5.554      0.286
  7.500     29.009      0.354     -0.180     -0.061     -0.084     -4.726     -0.607
  8.000     30.560      0.321     -0.156     -0.057     -0.086     -4.038     -1.786
  8.500     30.560      0.321     -0.156     -0.057     -0.086     -4.038     -1.786
  9.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
  9.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 10.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 10.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 11.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 11.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 12.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 12.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 13.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 13.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 14.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 14.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 15.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 15.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 16.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 16.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 17.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 17.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 18.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 18.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 19.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 19.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 20.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 20.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 21.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 21.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 22.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 22.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 23.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000
 23.500      0.000      0.000      0.000      0.000      0.000      0.000      0.000
