# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      9.188     -0.039     -0.523     -0.006     0.014     -2.919     -2.612
  0.250     10.704     -0.045     -0.376     -0.014    -0.003      1.650      1.013
  0.500     10.376     -0.032     -0.369     -0.015    -0.005      0.831      0.567
  0.750     10.318     -0.032     -0.341     -0.015    -0.010      0.180     -0.464
  1.000     10.251     -0.036     -0.330     -0.014    -0.012      0.332     -0.521
  1.250     10.040     -0.035     -0.315     -0.014    -0.010      0.490     -0.252
  1.500      9.844     -0.038     -0.310     -0.012    -0.009      0.630     -0.294
  1.750      9.586     -0.042     -0.299     -0.010    -0.008      0.725     -0.281
  2.000      9.267     -0.055     -0.290     -0.008    -0.007      0.843     -0.042
  2.250      8.882     -0.073     -0.300     -0.003    -0.006      0.775      0.296
  2.500      8.599     -0.079     -0.317     -0.001    -0.004      0.570      0.487
  2.750      8.459     -0.082     -0.337     -0.001    -0.004      0.327      0.666
  3.000      8.372     -0.074     -0.363     -0.003     0.000     -0.057      1.024
  3.250      8.589     -0.054     -0.368     -0.006    -0.001     -0.585      0.935
  3.500      8.839     -0.015     -0.361     -0.006    -0.001     -1.201      1.106
  3.750      9.064      0.075     -0.392      0.002    -0.002     -2.277      1.830
  4.000      9.687      0.160     -0.427      0.008    -0.002     -3.419      2.204
  4.250     10.568      0.261     -0.448      0.015    -0.001     -4.795      2.618
  4.500     11.474      0.392     -0.441      0.026    -0.001     -5.536      3.820
  4.750     13.356      0.446     -0.486      0.022    -0.006     -6.547      2.948
  5.000     15.430      0.498     -0.520      0.017    -0.006     -7.519      1.911
  5.250     17.668      0.531     -0.537      0.013    -0.005     -8.091      0.749
  5.500     19.943      0.560     -0.554      0.009    -0.003     -8.227     -0.248
  5.750     22.087      0.597     -0.551      0.010    -0.004     -8.110     -0.973
  6.000     23.991      0.617     -0.550      0.014    -0.004     -7.715     -1.130
  6.250     25.699      0.650     -0.554      0.019    -0.004     -7.240     -0.945
  6.500     27.332      0.656     -0.545      0.021    -0.004     -6.873     -0.624
  6.750     28.816      0.653     -0.517      0.023    -0.004     -6.582      0.080
  7.000     30.460      0.624     -0.422      0.026    -0.015     -6.331      0.225
  7.250     32.115      0.621     -0.380      0.025    -0.018     -6.380      0.102
  7.500     33.875      0.608     -0.334      0.026    -0.023     -6.442     -0.503
  7.750     35.495      0.601     -0.321      0.026    -0.022     -5.908     -1.194
  8.000     36.783      0.575     -0.299      0.030    -0.021     -4.525     -2.436
  8.250     37.298      0.554     -0.255      0.028    -0.017     -1.137     -4.630
  8.500     37.582      0.539     -0.233      0.033    -0.014     -0.095     -3.751
